primaryID,name,synonym
http://www.wikidata.org/entity/Q139307,calcifediol,U-32070E
http://www.wikidata.org/entity/Q139307,calcifediol,Ryaldee
http://www.wikidata.org/entity/Q139307,calcifediol,Hidroferol
http://www.wikidata.org/entity/Q139307,calcifediol,Didrogyl
http://www.wikidata.org/entity/Q139307,calcifediol,Calderol
http://www.wikidata.org/entity/Q139307,calcifediol,Calcifediolum
http://www.wikidata.org/entity/Q139307,calcifediol,Calcifediol Anhydrous
http://www.wikidata.org/entity/Q139307,calcifediol,Calcifediol anhydrous
http://www.wikidata.org/entity/Q139307,calcifediol,calcifediol anhydrous
http://www.wikidata.org/entity/Q139307,calcifediol,Calcifédiol
http://www.wikidata.org/entity/Q139307,calcifediol,Calcifediol
http://www.wikidata.org/entity/Q139307,calcifediol,Calcidiol
http://www.wikidata.org/entity/Q139307,calcifediol,calcidiol
http://www.wikidata.org/entity/Q139307,calcifediol,"9,10-Secocholesta-5,7,10(19)-triene-3b,25-diol"
http://www.wikidata.org/entity/Q139307,calcifediol,"5,6-cis-25-Hydroxyvitamin D3"
http://www.wikidata.org/entity/Q139307,calcifediol,"3-{2-[1-(5-hydroxy-1,5-dimethyl-hexyl)-7a-methyl-octahydro-inden-4-ylidene]-ethylidene}-4-methylene-cyclohexanol"
http://www.wikidata.org/entity/Q139307,calcifediol,25(OH)D3
http://www.wikidata.org/entity/Q139307,calcifediol,25(OH)D
http://www.wikidata.org/entity/Q139307,calcifediol,25-Hydroxyvitamin D3
http://www.wikidata.org/entity/Q139307,calcifediol,25-hydroxyvitamin D3
http://www.wikidata.org/entity/Q139307,calcifediol,25-hydroxycholecalciferol
http://www.wikidata.org/entity/Q139307,calcifediol,25-Hydroxy-cholecalciferol
http://www.wikidata.org/entity/Q139307,calcifediol,"(5Z,7E)-(3S)-9,10-secocholesta-5,7,10(19)-triene-3,25-diol"
http://www.wikidata.org/entity/Q139307,calcifediol,"(3β,5Z,7E)-9,10-secocholesta-5,7,10(19)-triene-3,25-diol"
http://www.wikidata.org/entity/Q139307,calcifediol,"(3S,5Z,7E)-9,10-secocholesta-5,7,10-triene-3,25-diol"
http://www.wikidata.org/entity/Q139307,calcifediol,"(3beta,5Z,7E)-9,10-secocholesta-5,7,10(19)-triene-3,25-diol"
http://www.wikidata.org/entity/Q139307,calcifediol,"(1S,3Z)-3-{2-[(1R,3aS,4E,7aR)-1-[(2R)-6-hydroxy-6-methylheptan-2-yl]-7a-methyl-octahydro-1H-inden-4-ylidene]ethylidene}-4-methylidenecyclohexan-1-ol"
http://www.wikidata.org/entity/Q139347,cholecalciferol,oleovitamin D3
http://www.wikidata.org/entity/Q139347,cholecalciferol,delta-D
http://www.wikidata.org/entity/Q139347,cholecalciferol,colecalciferol
http://www.wikidata.org/entity/Q139347,cholecalciferol,calciol
http://www.wikidata.org/entity/Q139347,cholecalciferol,activated 7-dehydrocholesterol
http://www.wikidata.org/entity/Q139347,cholecalciferol,"9,10-secocholesta-5,7,10(19)-trien-3beta-ol"
http://www.wikidata.org/entity/Q139347,cholecalciferol,"9,10-secocholesta-5,7,10(19)-trien-3-ol"
http://www.wikidata.org/entity/Q139347,cholecalciferol,"9,10-secocholesta-5,7,10(19)-trien-3-beta-ol"
http://www.wikidata.org/entity/Q139347,cholecalciferol,"9,10-secocholesta-5,7,10-trien-3-ol"
http://www.wikidata.org/entity/Q139347,cholecalciferol,"3-beta,Z,7E-9,10-secocholestr-5,7,10(19)-trien-3-ol"
http://www.wikidata.org/entity/Q139347,cholecalciferol,"(5Z,7e)-(3S)-9,10-secocholesta-5,7,10(19)-trien-3-ol"
http://www.wikidata.org/entity/Q139347,cholecalciferol,"(5E,7E)-9,10-secocholesta-5,7,10-trien-3-ol"
http://www.wikidata.org/entity/Q139347,cholecalciferol,"(3beta,Z,7E)-9,10-secocholesta-5,7,10(19)-trien-3-ol"
http://www.wikidata.org/entity/Q139347,cholecalciferol,"(3beta,5Z,7e)-9,10-secocholesta-5,7,10(19)-trien-3-ol"
http://www.wikidata.org/entity/Q139347,cholecalciferol,"(1S,3Z)-3-{2-[(1R,4E,7aR)-7a-methyl-1-[(2R)-6-methylheptan-2-yl]-octahydro-1H-inden-4-ylidene]ethylidene}-4-methylidenecyclohexan-1-ol"
http://www.wikidata.org/entity/Q139347,cholecalciferol,"(1S,3Z)-3-[(2E)-2-[(1R,3aS,7aR)-7a-methyl-1-[(2R)-6-methylheptan-2-yl]-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylidenecyclohexan-1-ol"
http://www.wikidata.org/entity/Q139347,cholecalciferol,"(1S,3Z)-3-[(2E)-2-[(1R,3aS,7aR)-7a-methyl-1-[(2R)-6-methylheptan-2-yl]-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylidene-cyclohexan-1-ol"
http://www.wikidata.org/entity/Q139347,cholecalciferol,"(1S,3Z)-3-[(2E)-2-[(1R,3aS,7aR)-1-[(1R)-1,5-dimethylhexyl]-7a-methyl-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylene-cyclohexan-1-ol"
http://www.wikidata.org/entity/Q139347,cholecalciferol,"(1S,3Z)-3-[(2E)-2-[(1R,3aS,7aR)-1-[(1R)-1,5-dimethylhexyl]-7a-methyl-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylene-1-cyclohexanol"
http://www.wikidata.org/entity/Q139347,cholecalciferol,"(1S,3Z)-3-[(2e)-2-[(1R,3AR,7as)-7a-methyl-1-[(2R)-6-methylheptan-2-yl]-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylidene-cyclohexan-1-ol"
http://www.wikidata.org/entity/Q139347,cholecalciferol,(+)-vitamin D3
http://www.wikidata.org/entity/Q139347,cholecalciferol,vitamin D3
http://www.wikidata.org/entity/Q139347,cholecalciferol,CC
http://www.wikidata.org/entity/Q139350,7-dehydrocholesterol,Provitamin-D3
http://www.wikidata.org/entity/Q139350,7-dehydrocholesterol,Delta7-Cholesterol
http://www.wikidata.org/entity/Q139350,7-dehydrocholesterol,"Delta5,7-Cholesterol"
http://www.wikidata.org/entity/Q139350,7-dehydrocholesterol,"Delta5,7-Cholestadien-3beta-ol"
http://www.wikidata.org/entity/Q139350,7-dehydrocholesterol,Dehydrocholesterol
http://www.wikidata.org/entity/Q139350,7-dehydrocholesterol,Dehydrocholesterin
http://www.wikidata.org/entity/Q139350,7-dehydrocholesterol,"Cholesta-5,7-dien-3beta-ol"
http://www.wikidata.org/entity/Q139350,7-dehydrocholesterol,"Cholesta-5,7-dien-3b-ol"
http://www.wikidata.org/entity/Q139350,7-dehydrocholesterol,"Cholesta-5,7-dien-3-ol"
http://www.wikidata.org/entity/Q139350,7-dehydrocholesterol,"Cholesta-5,7-dien-3-beta-ol"
http://www.wikidata.org/entity/Q139350,7-dehydrocholesterol,"Cholesta-5,7-dien-3 beta -ol"
http://www.wikidata.org/entity/Q139350,7-dehydrocholesterol,7DHC
http://www.wikidata.org/entity/Q139350,7-dehydrocholesterol,"7,8-Didehydrocholesterol"
http://www.wikidata.org/entity/Q139350,7-dehydrocholesterol,"7,8-Dehydro-cholesterol"
http://www.wikidata.org/entity/Q139350,7-dehydrocholesterol,7-Dehydrocholesterin
http://www.wikidata.org/entity/Q139350,7-dehydrocholesterol,7-Dehydro-cholesterol
http://www.wikidata.org/entity/Q139350,7-dehydrocholesterol,"5,7-Cholestandien-3beta-ol"
http://www.wikidata.org/entity/Q139350,7-dehydrocholesterol,"5,7-Cholestandien-3-ol"
http://www.wikidata.org/entity/Q139350,7-dehydrocholesterol,"5,7-cholestadien-3beta-ol"
http://www.wikidata.org/entity/Q139350,7-dehydrocholesterol,"5,7-cholestadien-3-beta-ol"
http://www.wikidata.org/entity/Q139350,7-dehydrocholesterol,"17-(1,5-Dimethylhexyl)-10,13-dimethyl-2,3,4,9,10,11,12,13,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol"
http://www.wikidata.org/entity/Q139350,7-dehydrocholesterol,"10,13-Dimethyl-17-(6-methylheptan-2-yl)-2,3,4,9,11,12,14,15,16,17-decahydro-1H-cyclopenta[a]phenanthren-3-ol"
http://www.wikidata.org/entity/Q139350,7-dehydrocholesterol,"(3β)-Cholesta-5,7-dien-3-ol"
http://www.wikidata.org/entity/Q139350,7-dehydrocholesterol,(3β)-7-Dehydrocholesterol
http://www.wikidata.org/entity/Q139350,7-dehydrocholesterol,"(3beta)-cholesta-5,7-dien-3-ol"
http://www.wikidata.org/entity/Q139350,7-dehydrocholesterol,"(3b)-Cholesta-5,7-dien-3-ol"
http://www.wikidata.org/entity/Q139350,7-dehydrocholesterol,"(1S,2R,5S,11R,14R,15R)-2,15-dimethyl-14-[(2R)-6-methylheptan-2-yl]tetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadeca-7,9-dien-5-ol"
http://www.wikidata.org/entity/Q139350,7-dehydrocholesterol,(-)-7-dehydrocholesterol
http://www.wikidata.org/entity/Q161529,"1,4-dichlorobenzene",PDCB
http://www.wikidata.org/entity/Q161529,"1,4-dichlorobenzene",Paradichlorbenzol
http://www.wikidata.org/entity/Q161529,"1,4-dichlorobenzene",para-dichlorobenzene
http://www.wikidata.org/entity/Q161529,"1,4-dichlorobenzene",p-dichlorobenzol
http://www.wikidata.org/entity/Q161529,"1,4-dichlorobenzene",p-dichlorobenzene
http://www.wikidata.org/entity/Q161529,"1,4-dichlorobenzene",p-dichloro-benzene
